Date,Open,High,Low,Close,Volume,Adj. Close
1997-05-15,2.4375,2.5,1.927083,1.958333,72156000,1.958333
1997-05-16,1.96875,1.979167,1.708333,1.729167,14700000,1.729167
1997-05-19,1.760417,1.770833,1.625,1.708333,6106800,1.708333
1997-05-20,1.729167,1.75,1.635417,1.635417,5467200,1.635417
1997-05-21,1.635417,1.645833,1.375,1.427083,18853200,1.427083
1997-05-22,1.4375,1.447917,1.3125,1.395833,11776800,1.395833
1997-05-23,1.40625,1.520833,1.333333,1.5,15937200,1.5
1997-05-27,1.510417,1.645833,1.458333,1.583333,8697600,1.583333
1997-05-28,1.625,1.635417,1.53125,1.53125,4574400,1.53125
1997-05-29,1.541667,1.541667,1.479167,1.505208,3472800,1.505208
1997-05-30,1.5,1.510417,1.479167,1.5,2594400,1.5
1997-06-02,1.510417,1.53125,1.5,1.510417,591600,1.510417
1997-06-03,1.53125,1.53125,1.479167,1.479167,1183200,1.479167
1997-06-04,1.479167,1.489583,1.395833,1.416667,3080400,1.416667
1997-06-05,1.416667,1.541667,1.375,1.541667,5672400,1.541667
1997-06-06,1.515625,1.708333,1.510417,1.65625,7807200,1.65625
1997-06-09,1.65625,1.708333,1.65625,1.6875,2352000,1.6875
1997-06-10,1.708333,1.708333,1.53125,1.583333,5458800,1.583333
1997-06-11,1.59375,1.604167,1.53125,1.541667,1188000,1.541667
1997-06-12,1.583333,1.645833,1.552083,1.604167,1632000,1.604167
1997-06-13,1.625,1.625,1.583333,1.583333,693600,1.583333
1997-06-16,1.604167,1.604167,1.5625,1.572917,913200,1.572917
1997-06-17,1.598958,1.598958,1.494792,1.505208,4706400,1.505208
1997-06-18,1.520833,1.536458,1.5,1.510417,2464800,1.510417
1997-06-19,1.510417,1.53125,1.5,1.510417,1003200,1.510417
1997-06-20,1.53125,1.552083,1.5,1.526042,3387600,1.526042
1997-06-23,1.541667,1.541667,1.479167,1.5,1047600,1.5
1997-06-24,1.505208,1.526042,1.479167,1.510417,751200,1.510417
1997-06-25,1.526042,1.526042,1.489583,1.510417,2106000,1.510417
1997-06-26,1.520833,1.520833,1.505208,1.510417,3189600,1.510417
1997-06-27,1.515625,1.515625,1.479167,1.489583,1188000,1.489583
1997-06-30,1.510417,1.598958,1.479167,1.541667,2746800,1.541667
1997-07-01,1.541667,1.541667,1.510417,1.515625,1292400,1.515625
1997-07-02,1.515625,1.59375,1.510417,1.588542,3882000,1.588542
1997-07-03,1.598958,1.916667,1.59375,1.911458,12577200,1.911458
1997-07-07,1.833333,2.020833,1.833333,2,8053200,2
1997-07-08,2.041667,2.333333,2.041667,2.302083,15517200,2.302083
1997-07-09,2.302083,2.385417,2.270833,2.322917,8262000,2.322917
1997-07-10,2.333333,2.572917,2.333333,2.5625,9051600,2.5625
1997-07-11,2.520833,2.520833,2.208333,2.291667,10531200,2.291667
1997-07-14,2.322917,2.333333,2.114583,2.135417,4604400,2.135417
1997-07-15,2.135417,2.479167,2.135417,2.4375,9274800,2.4375
1997-07-16,2.447917,2.494792,2.302083,2.333333,3024000,2.333333
1997-07-17,2.34375,2.34375,2.15625,2.21875,3169200,2.21875
1997-07-18,2.1875,2.21875,2.15625,2.15625,780000,2.15625
1997-07-21,2.177083,2.197917,2.145833,2.182292,574800,2.182292
1997-07-22,2.166667,2.1875,2.0625,2.135417,1563600,2.135417
1997-07-23,2.1875,2.333333,2.177083,2.291667,3259200,2.291667
1997-07-24,2.302083,2.3125,2.21875,2.260417,1216800,2.260417
1997-07-25,2.21875,2.25,2.21875,2.229167,620400,2.229167
1997-07-28,2.229167,2.395833,2.21875,2.322917,2574000,2.322917
1997-07-29,2.364583,2.5,2.333333,2.479167,4814400,2.479167
1997-07-30,2.5,2.505208,2.427083,2.447917,2517600,2.447917
1997-07-31,2.4375,2.4375,2.333333,2.395833,1454400,2.395833
1997-08-01,2.34375,2.416667,2.25,2.416667,3588000,2.416667
1997-08-04,2.375,2.411458,2.302083,2.3125,2671200,2.3125
1997-08-05,2.333333,2.333333,2.145833,2.208333,3032400,2.208333
1997-08-06,2.208333,2.3125,2.1875,2.25,1243200,2.25
1997-08-07,2.25,2.260417,2.125,2.177083,2034000,2.177083
1997-08-08,2.166667,2.302083,2.104167,2.291667,2211600,2.291667
1997-08-11,2.291667,2.333333,2.25,2.328125,1239600,2.328125
1997-08-12,2.28125,2.302083,2.197917,2.197917,571200,2.197917
1997-08-13,2.229167,2.229167,2.166667,2.197917,590400,2.197917
1997-08-14,2.177083,2.25,2.119792,2.15625,1041600,2.15625
1997-08-15,2.135417,2.15625,1.9375,2.114583,1597200,2.114583
1997-08-18,2.052083,2.052083,1.96875,2.041667,1784400,2.041667
1997-08-19,2.09375,2.208333,2.052083,2.166667,1003200,2.166667
1997-08-20,2.1875,2.1875,2.072917,2.166667,999600,2.166667
1997-08-21,2.135417,2.171875,2.072917,2.114583,624000,2.114583
1997-08-22,2.104167,2.125,2.09375,2.125,712800,2.125
1997-08-25,2.104167,2.260417,2.104167,2.21875,1126800,2.21875
1997-08-26,2.239583,2.354167,2.229167,2.34375,2574000,2.34375
1997-08-27,2.307292,2.322917,2.25,2.317708,1392000,2.317708
1997-08-28,2.302083,2.395833,2.28125,2.375,1147200,2.375
1997-08-29,2.364583,2.375,2.322917,2.338542,722400,2.338542
1997-09-02,2.34375,2.375,2.333333,2.354167,732000,2.354167
1997-09-03,2.34375,2.416667,2.3125,2.333333,1964400,2.333333
1997-09-04,2.364583,2.552083,2.34375,2.552083,3348000,2.552083
1997-09-05,2.583333,2.666667,2.458333,2.5,1908000,2.5
1997-09-08,2.53125,3.020833,2.5,3,5648400,3
1997-09-09,3.140625,3.385417,3.026042,3.239583,8971200,3.239583
1997-09-10,3.3125,3.328125,3.125,3.302083,3866400,3.302083
1997-09-11,3.333333,3.333333,3.041667,3.15625,4262400,3.15625
1997-09-12,3.1875,3.697917,3.15625,3.6875,3333600,3.6875
